accession	description	tax_id	scientific_name	first_public	base_count
AF006568	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.	7234	Drosophila persimilis	1997-09-11	3465
AY279326	Drosophila eugracilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase related (Adhr) genes, complete cds.	29029	Drosophila eugracilis	2004-03-31	2675
X04454	Drosophila melanogaster alcohol dehydrogenase null4 allele	7227	Drosophila melanogaster	1986-11-18	2369
U64535	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS271 allele, and alcohol dehydrogenase-like protein gene, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	4594
X62185	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3498
X62238	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3479
X64485	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3472
M60792	Drosophila mimica alcohol dehydrogenase gene, complete cds.	7270	Drosophila mimica	1992-06-06	895
X62181	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3494
X62188	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3472
X62219	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3447
X62201	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3479
X64472	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3453
X64477	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3506
X62213	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3463
AY238776	Drosophila miranda strain MA28 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	7229	Drosophila miranda	2003-04-08	2042
AB026527	Drosophila lutescens gene for alcohol dehydrogenase, partial cds.	51159	Drosophila lutescens	1999-10-29	840
GQ376037	Drosophila repleta alcohol dehydrogenase (ADH) gene, partial cds.	30043	Drosophila repleta	2009-08-02	410
AY750138	Drosophila robusta alcohol dehydrogenase (Adh) gene, partial cds.	7257	Drosophila robusta	2005-12-31	911
EU490429	Drosophila endobranchia alcohol dehydrogenase (Adh) gene, partial cds.	508692	Drosophila endobranchia	2008-03-11	651
